Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_Type,HCPCS_Cd,HCPCS_Desc,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
1023522737,Hagan,Alison,Lawrenceburg,TN,38464,4,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,52,52.0,52,80.0,25.754230769,19.317307692,19.317307692
1033134143,Davies,Tracy,Topeka,KS,66606,1,Nurse Practitioner,Q3014,Telehealth originating site facility fee,O,17,37.0,37,30.0,25.843513514,14.959459459,14.959459459
1033136999,Goven,Genevieve,Valley City,ND,58072,7,Family Practice,Q3014,Telehealth originating site facility fee,O,23,27.0,27,50.0,25.765185185,18.785925926,18.785925926
1033148176,Mata,Rodrigo,Kenosha,WI,53142,1.1,Internal Medicine,99453,"Remote monitoring of physiologic parameters, initial set-up and patient education on use of equipment",O,96,105.0,105,21.095333333,18.186,14.260666667,14.843904762
1033148176,Mata,Rodrigo,Kenosha,WI,53142,1.1,Internal Medicine,99454,"Remote monitoring of physiologic parameters, initial supply of devices with daily recordings or programmed alerts transmission, each 30 days",O,63,153.0,153,57.706143791,57.570784314,46.030915033,49.870392157
1033148176,Mata,Rodrigo,Kenosha,WI,53142,1.1,Internal Medicine,99457,"Remote monitoring of physiologic parameters management services, 20 minutes or more of qualified health care professional time per calendar month",O,63,158.0,158,80.799050633,48.954810127,39.14056962,40.208860759
1033152103,Snitzer,Jack,Salisbury,MD,21804,1,Endocrinology,Q3014,Telehealth originating site facility fee,O,31,38.0,38,35.0,25.741052632,19.960526316,19.960526316
1033231188,Samadder,Gautam,Columbus,OH,43213,1,Internal Medicine,99091,"Collection and interpretation of physical parameters stored in computers and/or transmitted by the patient and/or caregiver to qualified health care professional, requiring 30 minutes or more, per 30 days",O,168,189.0,189,150.0,55.669100529,44.012698413,45.532751323
1033268065,Sodhi,Preeti,Dallas,TX,75235,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,35,102.0,102,146.11647059,25.779803922,15.872352941,15.872352941
1033363676,Amin,Amina,Columbia,MO,65203,1,Psychiatry,Q3014,Telehealth originating site facility fee,O,36,154.0,154,50.727272727,25.78525974,17.804155844,17.804155844
